ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2018.0,128.0,motorola,6.5,lcd,2.0,8.0,2.57,254.42,1600.0,720.0,5000.0,18.78048780487805,549.0,145.99
2020.0,128.0,samsung,6.5,amoled,2.3,4.0,2.57,254.42,720.0,1600.0,5000.0,1.3043478260869563,72.89,72.89
2025.0,256.0,doogee,6.56,lcd,3.1,8.0,6.0,430.0,1080.0,2400.0,15500.0,25.68181818181818,289.99,229.98
2023.0,128.0,ulefone,6.56,lcd,4.7,3.0,2.57,254.42,720.0,1612.0,5000.0,8.0,89.99,75.99
2023.0,64.0,blackview,6.1,lcd,15.4,4.0,1.5,270.0,720.0,1560.0,6580.0,19.047619047619047,199.99,125.99
2022.0,256.0,doogee,6.3,amoled,2.1,8.0,1.55,320.0,1080.0,2340.0,6000.0,52.05128205128205,199.99,368.99
2018.0,256.0,apple,6.1,xdr,2.5,8.0,2.57,254.42,1080.0,2400.0,2815.0,352.85714285714283,549.0,379.5
2023.0,128.0,oukitel,6.56,lcd,1.6,12.0,0.92,199.0,720.0,1600.0,5150.0,442.1951219512196,119.99,109.99
2023.0,512.0,xiaomi,6.67,amoled,2.9,8.0,2.57,254.42,1920.0,1080.0,5000.0,2.0,199.9,199.9
2025.0,256.0,doogee,6.58,lcd,2.9,16.0,1.79,422.0,1080.0,2340.0,10800.0,6.59090909090909,329.99,189.99
2025.0,256.0,doogee,6.72,lcd,3.4,8.0,1.6,364.0,1080.0,2400.0,10100.0,2.3404255319148937,379.99,299.99
2022.0,128.0,blackview,6.5,amoled,2.0,4.0,0.9,184.0,720.0,1600.0,5180.0,16.82926829268293,499.99,119.99
2018.0,128.0,mtgud,5.0,lcd,1.3,1.0,2.57,254.42,480.0,854.0,3000.0,17.575757575757578,549.0,59.34
2025.0,256.0,blackview,6.56,lcd,16.4,12.0,2.57,254.42,1080.0,2400.0,5000.0,25.23809523809524,329.99,129.99
2023.0,128.0,motorola,6.5,lcd,2.0,4.0,0.8,177.2,1080.0,2400.0,5000.0,262.093023255814,136.4,136.4
2022.0,128.0,zokoe,2.5,lcd,1.2,8.0,1.11,54.0,240.0,400.0,3000.0,74.375,59.99,49.99
2023.0,256.0,ulefone,6.78,lcd,2.2,24.0,2.57,254.42,1920.0,1080.0,22000.0,49.30232558139535,369.99,295.99
2022.0,128.0,samsung,6.5,amoled,2.4,6.0,0.81,189.0,1080.0,2400.0,5000.0,19.21052631578948,154.0,154.0
2025.0,256.0,oukitel,6.56,ips,2.0,24.0,1.53,670.0,720.0,1600.0,11000.0,16.444444444444443,259.99,249.99
2021.0,256.0,samsung,6.8,lcd,3.0,8.0,0.89,228.0,1080.0,2400.0,3600.0,86.58536585365854,749.99,689.68
2025.0,128.0,doogee,6.56,lcd,1.6,4.0,1.1,240.0,1080.0,2280.0,5150.0,20.227272727272727,159.99,119.99
2025.0,64.0,blackview,6.56,lcd,4.3,6.0,2.57,254.42,1080.0,2400.0,4700.0,10.444444444444445,99.99,79.99
2025.0,512.0,doogee,6.72,lcd,3.1,24.0,1.57,368.0,1080.0,2408.0,10200.0,6.326530612244897,309.99,259.99
2022.0,256.0,motorola,6.67,amoled,2.0,8.0,0.8,180.0,1080.0,2400.0,5000.0,48.63636363636363,1299.0,177.99
2025.0,1024.0,ulefone,6.56,lcd,21.8,8.0,0.92,300.0,1080.0,2400.0,5000.0,1.4,99.99,99.99
2023.0,128.0,zokoe,4.0,lcd,2.0,4.0,1.3,128.0,1080.0,2400.0,2600.0,5.714285714285714,499.99,119.99
2025.0,64.0,oscal,6.56,lcd,4.3,4.0,2.57,254.42,1080.0,2400.0,5000.0,1.794871794871795,79.99,79.99
2023.0,256.0,vivo,6.78,amoled,3.1,8.0,0.74,30.0,1080.0,2400.0,4600.0,1.627906976744186,499.99,269.0
2025.0,512.0,doogee,6.6,lcd,3.4,8.0,1.79,422.0,1080.0,2400.0,10800.0,13.409090909090908,499.99,299.99
2022.0,64.0,ttfone,4.0,lcd,1.5,1.0,1.0,195.0,480.0,800.0,1400.0,22.33333333333333,499.99,64.99
2022.0,256.0,ulefone,6.58,amoled,2.2,8.0,1.81,409.0,1080.0,2408.0,9600.0,25.68181818181818,199.99,329.99
2014.0,64.0,akozon,5.5,lcd,1.4,4.0,2.57,254.42,1080.0,2400.0,3000.0,19.45945945945946,61.91,61.91
2025.0,128.0,blackview,6.56,lcd,16.4,4.0,2.57,254.42,1080.0,2400.0,5000.0,25.23809523809524,129.99,129.99
2023.0,128.0,cubot,6.58,ips,2.0,8.0,1.0,217.0,2408.0,1080.0,5200.0,53.888888888888886,179.95,149.99
2023.0,128.0,samsung,6.5,amoled,2.0,4.0,1.0,163.0,1080.0,2400.0,5000.0,293.18181818181813,499.99,175.73
2023.0,128.0,xiaomi,6.79,lcd,16.3,4.0,2.57,254.42,1080.0,2400.0,5000.0,20.0,132.95,119.0
2023.0,128.0,xiaomi,6.7,lcd,26.5,4.0,2.57,254.42,720.0,1650.0,5000.0,0.8571428571428571,99.0,93.0
2023.0,256.0,oukitel,6.52,lcd,2.8,16.0,2.57,254.42,720.0,1600.0,10600.0,213.6842105263158,199.99,169.99
2023.0,64.0,ulefone,5.45,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,4860.0,22.857142857142858,499.99,113.99
