ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2024.0,128.0,apple,5.4,oled,3.1,4.0,0.74,135.0,2340.0,1080.0,5000.0,1874.2857142857144,499.99,245.0,0.07391316419280271,1
2024.0,256.0,apple,6.1,oled,2.5,8.0,0.74,189.0,1080.0,2400.0,5000.0,1714.8648648648648,499.99,333.99,0.4654302305248886,1
2024.0,256.0,apple,6.1,oled,2.4,8.0,2.82,300.0,2532.0,1170.0,4.0,3198.285714285714,317.99,317.99,0.3950372306225021,-1
2024.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,248.0,0.08711185167450017,1
2024.0,256.0,apple,6.1,oled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,3198.285714285714,499.99,323.99,0.421434605585897,1
2024.0,128.0,samsung,6.2,amoled,2.8,8.0,2.0,301.0,2340.0,1080.0,4000.0,206.66666666666663,369.99,349.0,0.5314676635583149,1
2024.0,128.0,samsung,6.6,lcd,2.7,4.0,10.0,192.0,1080.0,2400.0,5000.0,1169.5454545454545,72.29,72.29,-0.6859352741285205,1
2024.0,512.0,oppo,6.7,amoled,2.0,12.0,0.74,180.0,1080.0,2412.0,3600.0,22.32558139534884,499.99,521.85,1.2919320406287842,1
2024.0,128.0,blackview,6.58,amoled,2.2,8.0,1.77,367.0,1920.0,1080.0,8380.0,17.941176470588236,499.99,424.99,0.8657904174697117,1
2024.0,128.0,samsung,6.67,amoled,1.0,8.0,2.57,254.42,1080.0,2340.0,5000.0,125.11111111111111,549.0,339.0,0.4874720386193233,1
2024.0,512.0,xiaomi,6.67,amoled,3.0,12.0,2.57,254.42,1500.0,2560.0,5000.0,51.463414634146346,496.65,337.99,0.4830284805004852,1
2024.0,128.0,realme,11.02,lcd,13.8,6.0,11.42,400.0,1080.0,2400.0,5000.0,58.33333333333333,199.99,151.95,-0.33546612586451374,1
2025.0,512.0,doogee,6.72,lcd,2.5,32.0,1.6,364.0,1080.0,2280.0,10100.0,16.382978723404253,469.99,369.99,0.6238144803052582,-1
2023.0,64.0,ttfone,1.8,lcd,0.0,32.0,0.9,180.0,128.0,160.0,800.0,6.666666666666667,199.99,21.99,-0.9072332675716479,-1
2024.0,256.0,fossibot,6.58,lcd,2.0,7.0,2.0,470.0,720.0,1440.0,10600.0,33.333333333333336,199.99,109.99,-0.5200717681085223,1
2025.0,256.0,oukitel,6.56,lcd,2.8,24.0,2.57,254.42,720.0,1600.0,5150.0,12.040816326530612,199.99,169.99,-0.2560980184745729,1
2024.0,256.0,samsung,6.7,lcd,2.6,12.0,2.57,254.42,1920.0,1080.0,5000.0,167.5,499.99,1459.0,5.414982031786377,1
2024.0,128.0,blackview,4.3,lcd,2.0,12.0,2.57,254.42,1080.0,2400.0,3700.0,10.0,199.99,149.99,-0.34408926835255604,1
2024.0,128.0,google,6.2,oled,2.5,12.0,0.89,187.0,1080.0,2400.0,4575.0,634.0,199.99,474.46,1.0834367740429027,1
2024.0,256.0,doogee,5.5,lcd,2.8,16.0,2.57,254.42,1440.0,720.0,6300.0,36.09756097560976,179.99,179.99,-0.21210239353558136,1
2024.0,256.0,oukitel,6.7,lcd,1.6,24.0,2.57,254.42,720.0,1604.0,5000.0,0.9523809523809524,129.99,129.99,-0.4320805182305391,1
2024.0,256.0,samsung,6.5,amoled,3.1,8.0,3.0,197.0,1080.0,2400.0,5000.0,166.046511627907,343.02,234.99,0.029873543628872196,1
2023.0,256.0,xiaomi,6.74,lcd,15.1,8.0,1.27,192.0,1080.0,2400.0,5000.0,7.096774193548387,499.99,136.27,-0.40445126576885243,1
2024.0,128.0,jtqtj,5.0,lcd,2.1,1.0,2.57,254.42,1280.0,720.0,3000.0,78.33333333333333,499.99,56.99,-0.7532485802851775,1
2024.0,128.0,xiaomi,6.56,lcd,1.0,4.0,2.57,254.42,1920.0,1080.0,5000.0,19.0,87.89,82.0,-0.6432155223127597,1
2024.0,128.0,xiaomi,6.74,lcd,19.3,6.0,2.57,254.42,1440.0,720.0,5000.0,188.0,136.24,106.97,-0.5333584468400977,1
2018.0,64.0,fossibot,5.45,amoled,2.0,7.0,2.03,350.0,720.0,1440.0,10600.0,5.5813953488372094,139.99,139.99,-0.38808489329154755,1
2024.0,64.0,xiaomi,5.0,lcd,4.7,3.0,2.57,254.42,1080.0,2400.0,5000.0,19.77272727272727,94.27,76.0,-0.6696128972761546,1
2024.0,64.0,realme,6.74,lcd,1.8,3.0,0.76,360.0,1080.0,2400.0,5000.0,8.974358974358974,82.99,79.99,-0.652058642925497,1
2024.0,128.0,samsung,6.6,amoled,3.3,4.0,0.84,198.0,1080.0,2400.0,5000.0,553.0952380952381,319.0,284.99,0.24985166832382996,1
