product_id ,precio_actual ,precio_anterior ,Tipo de pantalla           ,Tipo de procesador     ,Ano del modelo ,Memoria RAM ,Tecnologia de pantalla                          ,Sistema operativo            ,Capacidad de la memoria flash instalada ,Fabricante                              ,Coprocesador grafico ,Resolucion maxima               ,Numero de procesadores ,Velocidad del procesador ,Frecuencia de actualizacion ,Marca     ,Capacidad de almacenamiento digital ,Capacidad de la memoria ,Capacidad de la memoria RAM instalada ,Tecnologia GSM ,Dimensiones del producto            ,Relacion de aspecto ,Tamano de la pantalla
B0DBLWQL1R ,"106,.24 "    ,"124,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,128 GB                                  ,UMIDIGI                                 ,                     ,720x1600 Pixeles                ,                     8 ,"1,6 GHz"                ,"1,6 GHz"                   ,UMIDIGI   ,1024 GB                             ,128 GB                  ,4 GB                                  ,4G             ,"16,7 x 7,7 x 0,79 cm; 189 g"       ,16:9                ,"6,75 Pulgadas"
B0D6GM4VQ6 ,"169,.99 "    ,"179,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,Android 14                   ,256 GB                                  ,DOOGEE                                  ,                     ,Full HD/1080p                   ,                     8 ,"1,6 GHz"                ,90 Hz                       ,DOOGEE    ,256 GB                              ,256 GB                  ,8 GB                                  ,5G             ,"17,27 x 8 x 1,1 cm; 450 g"         ,16:9                ,"6,58 Pulgadas"
B0CDGQ7BX8 ,"57,.99 "     ,"149,99"        ,LCD                        ,Snapdragon             ,          2024 ,1 GB        ,LCD                                             ,Android 9.0                  ,16 GB                                   ,WRTogo                                  ,                     ,1280 x 720 pixels               ,                     8 ,"1,3 GHz"                ,90 Hz                       ,WRTogo    ,16 GB                               ,16 GB                   ,1 GB                                  ,2G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,5 Pulgadas
B0C5D2T5R2 ,"129,.00 "    ,"139,99"        ,LCD                        ,Snapdragon             ,          2024 ,6 GB        ,AMOLED                                          ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,9 x 18 x 6 cm; 40 g                 ,16:9                ,"6,67 Pulgadas"
B0CY4ZH6VD ,"89,.99 "     ,"129,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,9 GB                                    ,DOOGEE                                  ,                     ,1280x720 pixeles                ,                     8 ,"1,6 GHz"                ,90 hertz                    ,DOOGEE    ,128 GB                              ,128 GB                  ,9 GB                                  ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,56 Pulgadas"
B0D5DDPDV7 ,"21,.84 "     ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0DMT2FKS4 ,"109,.00 "    ,"119,99"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0CN137WV2 ,"112,.60 "    ,"115,98"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0CNQ7J2WD ,"1.032,.86 "  ,"1299,00"       ,LCD                        ,Snapdragon             ,          2024 ,256         ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
B0CF2PH6Z5 ,No disponible ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0D8W44V1D ,"399,.00 "    ,"239,99"        ,OLED                       ,Snapdragon             ,          2024 ,8 GB        ,OLED                                            ,Android 13.0                 ,8 GB                                    ,HONOR                                   ,                     ,[High Resolution]               ,                     8 ,3E+3 MHz                 ,120 hertz                   ,HONOR     ,12 GB                               ,512 GB                  ,12 GB                                 ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,7 Pulgadas"
B0B1VD6323 ,"199,.99 "    ,"239,99"        ,LCD                        ,Snapdragon             ,          2024 ,128 GB      ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,69 x 0,84 x 16,54 cm; 192 g"     ,16:9                ,"6,67 Pulgadas"
B0D2DBNX7T ,"199,.90 "    ,"999,99 "       ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
B0DJD3S5GQ ,"798,.90 "    ,"999,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
