_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0DPHMDQKR,5000.0,257.98,399.0,,xiaomi,xiaomi hyperos,6.67,oled,2024.0,8.0,,,,
B0B786BT7Z,,90.0,109.11,,,,,,,,16.3,7.6,0.8,500.0
B0DG2YHSLL,4300.0,119.99,999.99,128.0,oukitel,android 14,6.52,lcd,2025.0,16.0,,,,
B0BS1LS9M3,5000.0,62.89,16.99,64.0,samsung,android,6.5,amoled,2020.0,4.0,,,,
B0DM957RN4,5000.0,69.0,239.99,,,,,,,,9.0,9.0,8.5,200.0
B0CN12J4Y2,,138.52,,,,,,,,,16.8,7.78,0.88,195.0
B0D2RQ8R19,5000.0,999.0,1299.0,,,,,,,4.0,16.35,7.45,0.8,181.0
B0D4YPG9KQ,5150.0,189.99,1299.0,,oukitel,android 14,6.8,lcd,2024.0,1.0,19.56,16.0,0.91,208.0
B082L1XCFC,3500.0,215.0,549.0,256.0,samsung,android 9.0,6.3,amoled,2019.0,8.0,30.0,20.0,20.0,170.0
B0DGXZNN2F,5010.0,199.99,219.99,,,,,,,,16.45,7.54,0.9,192.0
B0D8TCWWMK,6000.0,129.99,999.99,,oscal,android,6.75,lcd,2024.0,16.0,16.78,7.74,0.91,214.0
B0CN12BMRW,,199.0,9.6,,,,,superamoled,,,16.0,8.0,3.0,197.0
B0D7BNQS2T,10800.0,189.99,239.99,,doogee,android 14,6.58,lcd,2024.0,6.0,,,,
B0D89ZJR78,6300.0,119.99,159.99,256.0,doogee,android 14,5.5,lcd,2024.0,8.0,16.25,7.78,1.62,262.0
B0D6GKMW7R,3000.0,57.99,59.99,,qrzrq,android 9.0,5.0,lcd,2024.0,1.0,,,,
B0DNZ1Y4LG,5160.0,133.0,140.01,256.0,xiaomi,androide,6.74,amoled,2024.0,8.0,,,,
B0DFGM3WL2,3600.0,110.89,115.0,,,,,lcd,,,16.57,7.6,0.77,190.0
B0DH243L65,5000.0,95.47,121.96,,xiaomi,android 14,6.88,lcd,2024.0,4.0,17.19,7.78,0.82,204.0
B0CR1C119B,5000.0,169.95,241.43,,,,,amoled,,8.0,16.11,7.49,0.8,179.0
B0DDL1DMZ2,5000.0,181.84,245.0,,,,,amoled,,,16.3,7.57,0.77,200.0
B0DBVDRNK5,5000.0,229.99,229.99,256.0,motorola,android,6.67,oled,2024.0,8.0,16.19,7.31,0.76,170.0
B0D8TCDJ97,10600.0,149.99,199.99,256.0,oukitel,android 14,6.52,hd,2024.0,24.0,,,,
B0DB81STNK,5000.0,219.99,499.99,,xiaomi,android 13.0,6.67,amoled,2023.0,8.0,,,,
B0CSMR9M9P,4500.0,179.0,999.99,,honor,android 13.0,6.7,oled,,8.0,,,,
