ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly,cluster,mahalanobis
2024.0,128.0,google,6.1,amoled,3.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,290.61,290.61,0.27457720953954323,1,6,1.2405730848545589
2024.0,128.0,goshyda,5.5,lcd,1.4,1.0,2.57,254.42,1080.0,2400.0,3200.0,19.45945945945946,62.51,62.51,-0.7289629953188542,1,4,1.7795405917926714
2024.0,128.0,samsung,6.6,amoled,2.0,6.0,2.57,254.42,1080.0,2340.0,5000.0,1.1904761904761905,235.0,215.0,-0.05807371062417196,1,6,1.1427392826794107
2024.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,1080.0,2400.0,3000.0,20.571428571428573,59.99,56.99,-0.7532485802851775,1,4,1.8617249664002848
2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,485.76,417.0,0.8306379131434575,1,0,1.338007606203248
2024.0,128.0,realme,6.4,amoled,2.2,6.0,2.57,254.42,1440.0,720.0,5000.0,1.1904761904761905,233.32,233.32,0.022526274264060536,1,-1,1.882259243280064
2024.0,128.0,ulefone,6.52,amoled,1.6,4.0,0.87,184.0,1280.0,720.0,4400.0,52.0,199.99,139.99,-0.38808489329154755,1,-1,2.110181682942447
2024.0,128.0,doogee,5.5,lcd,1.6,8.0,1.6,262.0,1280.0,720.0,6300.0,50.75,159.99,116.0,-0.49363039752018834,1,-1,1.9700432640791483
2024.0,256.0,blackview,6.67,amoled,2.0,24.0,0.87,200.0,1080.0,2400.0,5000.0,1.0,329.99,239.99,0.051871356098367974,1,-1,2.1041106488044994
2024.0,256.0,xiaomi,6.67,lcd,2.9,8.0,0.82,198.5,1080.0,2400.0,5000.0,92.04545454545452,199.99,174.89,-0.23454016225446714,1,3,1.2669136227208908
2024.0,256.0,xiaomi,6.67,amoled,2.8,8.0,0.8,179.0,1080.0,2400.0,5000.0,36.66666666666666,241.43,169.95,-0.25627400097432895,1,3,1.392251006143783
2024.0,256.0,oscal,6.67,amoled,1.8,18.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,229.99,229.99,0.00787573115937642,1,-1,1.361744477082816
2024.0,256.0,honor,6.7,oled,2.4,8.0,2.57,254.42,1080.0,2400.0,4500.0,1.3333333333333333,199.99,179.0,-0.21645796040454157,1,0,1.11421273708206
2024.0,64.0,motorola,6.56,lcd,1.2,2.0,0.8,180.0,1080.0,2400.0,5000.0,59.06976744186047,75.9,75.9,-0.6700528535255444,1,-1,1.9413585198507066
2024.0,64.0,oukitel,6.6,lcd,21.8,8.0,2.57,254.42,720.0,1600.0,4300.0,31.818181818181817,199.99,99.99,-0.564067393047514,1,-1,1.5924662118141502
2024.0,256.0,tcl,6.8,lcd,3.0,16.0,0.9,192.0,1920.0,1080.0,5010.0,10.5,219.99,199.99,-0.12411114365759825,1,-1,2.008047845562335
2024.0,128.0,cmf by nothing,6.67,superamoled,2.6,8.0,0.82,197.0,1080.0,2400.0,5000.0,213.77777777777777,239.0,216.48,-0.05156235813320126,1,2,1.3239389079512933
2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,0.82,190.0,1080.0,2400.0,5000.0,168.0,499.99,303.43,0.33097960071133037,1,-1,1.6426611470921892
2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.6666666666666663,278.99,258.0,0.13110747661349173,1,0,0.9677242959464868
2024.0,256.0,samsung,6.5,amoled,2.5,6.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,529.0,399.0,0.7514457882532727,1,0,1.4972092971770479
2024.0,256.0,realme,6.78,amoled,2.5,8.0,2.57,254.42,1080.0,2400.0,5500.0,108.63636363636364,549.99,429.0,0.8834326630702474,1,0,1.5093557584278048
