_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,iqr_outlier
B0CNQ6Z5VC,2024.0,256.0,samsung,6.2,amoled,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,19.069767441860467,969.0,799.0,True
B0D2L42BX9,2024.0,256.0,realme,6.78,amoled,2.5,8.0,2.57,254.42,1080.0,2400.0,5500.0,108.63636363636364,549.99,429.0,True
B0D7TY4JNF,2024.0,128.0,google,6.3,amoled,3.0,12.0,0.86,190.0,1080.0,1920.0,4650.0,56.97674418604652,1099.0,849.0,True
B0BQRRTDZV,2024.0,256.0,samsung,6.6,amoled,2.9,12.0,2.57,254.42,1080.0,2400.0,4700.0,28.260869565217394,699.99,699.99,True
B0DCC1GLZZ,2024.0,256.0,oppo,6.7,lcd,2.4,8.0,0.77,186.0,1080.0,2400.0,5100.0,18.857142857142858,549.0,1579.0,True
B0CNQ6KY5J,2024.0,256.0,samsung,6.2,amoled,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,59.52380952380952,969.0,799.0,True
B0DPXNDX28,2024.0,256.0,samsung,6.7,lcd,2.6,12.0,2.57,254.42,1080.0,2400.0,5000.0,5.121951219512195,1459.0,1459.0,True
B0D72XHQBG,2024.0,256.0,realme,6.78,amoled,2.6,12.0,2.57,254.42,1080.0,2400.0,5500.0,108.63636363636364,599.99,599.99,True
B0D7TZX1CS,2024.0,256.0,google,6.3,amoled,3.0,12.0,0.85,190.0,1080.0,2400.0,4700.0,76.22222222222223,999.0,749.0,True
B09Q4DRPZM,2024.0,256.0,samsung,6.6,superamoled,2.6,12.0,0.76,195.0,1080.0,2400.0,4500.0,153.48837209302326,519.99,499.99,True
B0BZJLDPN2,2024.0,128.0,google,6.3,amoled,3.0,8.0,0.9,190.0,1080.0,2400.0,5000.0,109.02439024390245,199.99,999.0,True
B0DJD3S5GQ,2024.0,256.0,realme,6.78,amoled,3.0,12.0,2.57,254.42,1080.0,2340.0,6000.0,18.22222222222222,499.99,719.41,True
B0D2L3S4ZY,2024.0,256.0,realme,6.78,amoled,2.6,12.0,2.57,254.42,1080.0,2400.0,5500.0,108.4090909090909,199.99,606.63,True
B0BQRS2HZ7,2024.0,256.0,samsung,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,101.5217391304348,199.99,681.49,True
B0BQRVCR5S,2024.0,256.0,samsung,6.67,amoled,2.7,8.0,0.1,200.0,1080.0,2400.0,3900.0,67.3913043478261,199.99,620.03,True
B0CNQ7J2WD,2024.0,256.0,samsung,6.3,lcd,3.1,12.0,2.57,254.42,1080.0,2400.0,5000.0,167.5,499.99,1049.04,True
